Tiempo,     x,      u(x)
0.5, 0.428571, 4.21006
0.5, 0.44898, 4.4209
0.5, 0.469388, 4.57796
0.5, 0.489796, 4.67488
0.5, 0.510204, 4.70764
0.5, 0.530612, 4.67488
0.5, 0.55102, 4.57796
0.5, 0.571429, 4.4209
0.5, 0.591837, 4.21005
0.5, 0.612245, 3.95373
0.5, 0.632653, 3.66162
0.5, 0.653061, 3.34418
0.5, 0.673469, 3.01206
0.5, 0.693878, 2.67547
0.5, 0.714286, 2.3437
0.5, 0.734694, 2.02474
0.5, 0.755102, 1.72503
0.5, 0.77551, 1.4493
0.5, 0.795918, 1.20061
0.5, 0.816327, 0.98041
0.5, 0.836735, 0.788754
0.5, 0.857143, 0.624491
0.5, 0.877551, 0.485526
0.5, 0.897959, 0.369055
0.5, 0.918367, 0.271778
0.5, 0.938776, 0.190076
0.5, 0.959184, 0.120149
0.5, 0.979592, 0.0581015
0.5, 1, 0
0.6, 0, 0
0.6, 0.0204082, 0.051276
0.6, 0.0408163, 0.10591
0.6, 0.0612245, 0.167258
0.6, 0.0816327, 0.238659
0.6, 0.102041, 0.323403
0.6, 0.122449, 0.424664
0.6, 0.142857, 0.545404
0.6, 0.163265, 0.68824
0.6, 0.183673, 0.855275
0.6, 0.204082, 1.04791
0.6, 0.22449, 1.26664
0.6, 0.244898, 1.51085
0.6, 0.265306, 1.77867
0.6, 0.285714, 2.06681
0.6, 0.306122, 2.37055
0.6, 0.326531, 2.68376
0.6, 0.346939, 2.99904
0.6, 0.367347, 3.30795
0.6, 0.387755, 3.6014
0.6, 0.408163, 3.87002
0.6, 0.428571, 4.10469
0.6, 0.44898, 4.29705
0.6, 0.469388, 4.43996
0.6, 0.489796, 4.52799
0.6, 0.510204, 4.55772
0.6, 0.530612, 4.52799
0.6, 0.55102, 4.43996
0.6, 0.571429, 4.29704
0.6, 0.591837, 4.10468
0.6, 0.612245, 3.87
0.6, 0.632653, 3.60136
0.6, 0.653061, 3.30789
0.6, 0.673469, 2.99894
0.6, 0.693878, 2.6836
0.6, 0.714286, 2.37029
0.6, 0.734694, 2.06639
0.6, 0.755102, 1.77801
0.6, 0.77551, 1.50984
0.6, 0.795918, 1.2651
0.6, 0.816327, 1.04558
0.6, 0.836735, 0.851816
0.6, 0.857143, 0.683161
0.6, 0.877551, 0.538046
0.6, 0.897959, 0.414143
