Tiempo,     x,      u(x)
0.5, 0.265306, 17.484
0.5, 0.285714, 18.0139
0.5, 0.306122, 18.4501
0.5, 0.326531, 18.8042
0.5, 0.346939, 19.0873
0.5, 0.367347, 19.3101
0.5, 0.387755, 19.4824
0.5, 0.408163, 19.6127
0.5, 0.428571, 19.7082
0.5, 0.44898, 19.7747
0.5, 0.469388, 19.8167
0.5, 0.489796, 19.8369
0.5, 0.510204, 19.8369
0.5, 0.530612, 19.8167
0.5, 0.55102, 19.7747
0.5, 0.571429, 19.7082
0.5, 0.591837, 19.6127
0.5, 0.612245, 19.4824
0.5, 0.632653, 19.3101
0.5, 0.653061, 19.0873
0.5, 0.673469, 18.8042
0.5, 0.693878, 18.4501
0.5, 0.714286, 18.0139
0.5, 0.734694, 17.484
0.5, 0.755102, 16.8492
0.5, 0.77551, 16.0994
0.5, 0.795918, 15.2258
0.5, 0.816327, 14.222
0.5, 0.836735, 13.0845
0.5, 0.857143, 11.8132
0.5, 0.877551, 10.4118
0.5, 0.897959, 8.88843
0.5, 0.918367, 7.25528
0.5, 0.938776, 5.52861
0.5, 0.959184, 3.72829
0.5, 0.979592, 1.87713
0.5, 1, 0
0.6, 0, 0
0.6, 0.0204082, 1.81771
0.6, 0.0408163, 3.61184
0.6, 0.0612245, 5.35974
0.6, 0.0816327, 7.04053
0.6, 0.102041, 8.63584
0.6, 0.122449, 10.1304
0.6, 0.142857, 11.5125
0.6, 0.163265, 12.7739
0.6, 0.183673, 13.9105
0.6, 0.204082, 14.9213
0.6, 0.22449, 15.8086
0.6, 0.244898, 16.5774
0.6, 0.265306, 17.235
0.6, 0.285714, 17.79
0.6, 0.306122, 18.2524
0.6, 0.326531, 18.6323
0.6, 0.346939, 18.9401
0.6, 0.367347, 19.1856
0.6, 0.387755, 19.3779
0.6, 0.408163, 19.5253
0.6, 0.428571, 19.6346
0.6, 0.44898, 19.7115
0.6, 0.469388, 19.7604
0.6, 0.489796, 19.7842
0.6, 0.510204, 19.7842
0.6, 0.530612, 19.7604
0.6, 0.55102, 19.7115
0.6, 0.571429, 19.6346
0.6, 0.591837, 19.5253
0.6, 0.612245, 19.3779
0.6, 0.632653, 19.1856
0.6, 0.653061, 18.9401
0.6, 0.673469, 18.6323
0.6, 0.693878, 18.2524
0.6, 0.714286, 17.79
0.6, 0.734694, 17.235
0.6, 0.755102, 16.5774
0.6, 0.77551, 15.8086
0.6, 0.795918, 14.9213
0.6, 0.816327, 13.9105
0.6, 0.836735, 12.7739
0.6, 0.857143, 11.5125
0.6, 0.877551, 10.1304
0.6, 0.897959, 8.63584
0.6, 0.918367, 7.04053
0.6, 0.938776, 5.35974
0.6, 0.959184, 3.61184
0.6, 0.979592, 1.81771
0.6, 1, 0
0.7, 0, 0
0.7, 0.0204082, 1.7636
0.7, 0.0408163, 3.50566
0.7, 0.0612245, 5.20545
0.7, 0.0816327, 6.84375
0.7, 0.102041, 8.40351
0.7, 0.122449, 9.8704
0.7, 0.142857, 11.2331
0.7, 0.163265, 12.4837
0.7, 0.183673, 13.6173
0.7, 0.204082, 14.6324
0.7, 0.22449, 15.5303
0.7, 0.244898, 16.3148
0.7, 0.265306, 16.9919
0.7, 0.285714, 17.569
0.7, 0.306122, 18.0546
0.7, 0.326531, 18.4581
0.7, 0.346939, 18.7886
0.7, 0.367347, 19.0553
0.7, 0.387755, 19.2667
0.7, 0.408163, 19.4304
0.7, 0.428571, 19.5531
0.7, 0.44898, 19.6402
0.7, 0.469388, 19.6959
0.7, 0.489796, 19.7231
0.7, 0.510204, 19.7231
0.7, 0.530612, 19.6959
0.7, 0.55102, 19.6402
0.7, 0.571429, 19.5531
0.7, 0.591837, 19.4304
0.7, 0.612245, 19.2667
0.7, 0.632653, 19.0553
0.7, 0.653061, 18.7886
0.7, 0.673469, 18.4581
0.7, 0.693878, 18.0546
