Tiempo,     x,      u(x)
0.7, 0.326531, 37.5062
0.7, 0.346939, 36.8486
0.7, 0.367347, 35.8907
0.7, 0.387755, 34.6632
0.7, 0.408163, 33.1993
0.7, 0.428571, 31.5341
0.7, 0.44898, 29.7045
0.7, 0.469388, 27.7481
0.7, 0.489796, 25.7026
0.7, 0.510204, 23.6052
0.7, 0.530612, 21.4918
0.7, 0.55102, 19.396
0.7, 0.571429, 17.3485
0.7, 0.591837, 15.3767
0.7, 0.612245, 13.5034
0.7, 0.632653, 11.7476
0.7, 0.653061, 10.123
0.7, 0.673469, 8.63906
0.7, 0.693878, 7.30069
0.7, 0.714286, 6.10862
0.7, 0.734694, 5.05995
0.7, 0.755102, 4.14867
0.7, 0.77551, 3.36632
0.7, 0.795918, 2.7026
0.7, 0.816327, 2.14597
0.7, 0.836735, 1.68423
0.7, 0.857143, 1.30496
0.7, 0.877551, 0.995928
0.7, 0.897959, 0.745329
0.7, 0.918367, 0.541979
0.7, 0.938776, 0.375365
0.7, 0.959184, 0.235629
0.7, 0.979592, 0.113473
0.7, 1, 0
0.8, 0, 0
0.8, 0.0204082, 4.15023
0.8, 0.0408163, 8.2419
0.8, 0.0612245, 12.218
0.8, 0.0816327, 16.0245
0.8, 0.102041, 19.6117
0.8, 0.122449, 22.9354
0.8, 0.142857, 25.9574
0.8, 0.163265, 28.6466
0.8, 0.183673, 30.9789
0.8, 0.204082, 32.9374
0.8, 0.22449, 34.5122
0.8, 0.244898, 35.7002
0.8, 0.265306, 36.5045
0.8, 0.285714, 36.934
0.8, 0.306122, 37.0026
0.8, 0.326531, 36.7291
0.8, 0.346939, 36.1363
0.8, 0.367347, 35.2506
0.8, 0.387755, 34.1013
0.8, 0.408163, 32.7203
0.8, 0.428571, 31.1416
0.8, 0.44898, 29.4003
0.8, 0.469388, 27.5325
0.8, 0.489796, 25.5741
0.8, 0.510204, 23.5606
0.8, 0.530612, 21.526
0.8, 0.55102, 19.5022
0.8, 0.571429, 17.5186
0.8, 0.591837, 15.6012
0.8, 0.612245, 13.7723
0.8, 0.632653, 12.05
0.8, 0.653061, 10.4483
0.8, 0.673469, 8.97702
0.8, 0.693878, 7.64172
0.8, 0.714286, 6.44421
0.8, 0.734694, 5.38282
0.8, 0.755102, 4.45294
0.8, 0.77551, 3.64752
0.8, 0.795918, 2.95763
0.8, 0.816327, 2.37301
0.8, 0.836735, 1.88252
0.8, 0.857143, 1.47463
0.8, 0.877551, 1.13776
0.8, 0.897959, 0.860508
0.8, 0.918367, 0.631887
0.8, 0.938776, 0.441366
0.8, 0.959184, 0.278904
0.8, 0.979592, 0.134883
0.8, 1, 0
0.9, 0, 0
0.9, 0.0204082, 4.01386
0.9, 0.0408163, 7.97265
0.9, 0.0612245, 11.8227
0.9, 0.0816327, 15.5129
0.9, 0.102041, 18.9961
0.9, 0.122449, 22.2301
0.9, 0.142857, 25.1781
0.9, 0.163265, 27.8097
0.9, 0.183673, 30.1011
0.9, 0.204082, 32.0351
0.9, 0.22449, 33.6011
0.9, 0.244898, 34.7952
0.9, 0.265306, 35.6193
0.9, 0.285714, 36.0809
